Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpBufferPoints,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpMagic,InpMaxSpread,InpVerbose
102,-4689.32,-11.03369,0.83541,-0.40173,-5.00000,11.1141,425,35,100,300,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
312,-11998.73,-24.79076,0.83986,-0.64202,-5.00000,18.5944,484,5,300,700,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
5,-5467.10,-13.07919,0.69309,-0.52846,-5.00000,9.9598,418,30,100,100,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
242,-3518.19,-7.64824,0.93427,-0.34022,-3.20018,9.9106,460,15,100,600,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
153,-6090.69,-14.39879,0.81684,-0.46152,-5.00000,12.6313,423,50,100,400,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
315,-4652.98,-9.87894,0.90541,-0.50824,-4.20816,9.1316,471,20,300,700,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
263,-5517.19,-12.74178,0.86090,-0.41804,-5.00000,12.4858,433,60,200,600,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
270,1034.02,2.31324,1.02805,0.10828,1.04563,8.9939,447,35,300,600,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
361,-4863.96,-10.07031,0.92783,-0.30828,-3.83262,14.6572,483,10,300,800,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
119,-5435.25,-13.22445,0.80134,-0.51843,-5.00000,10.1350,411,60,200,300,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
350,-7856.47,-16.26598,0.87729,-0.55198,-5.00000,13.6895,483,15,200,800,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
65,-9244.22,-21.59864,0.66083,-0.62981,-5.00000,14.1196,428,30,200,200,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
0,-28030.31,-65.33872,0.38634,-0.96593,-5.00000,28.9455,429,5,100,100,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
375,-1484.33,-3.10529,0.96884,-0.15627,-1.20679,9.4758,478,20,400,800,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
136,-6211.34,-14.31184,0.77854,-0.76811,-5.00000,7.9829,434,25,400,300,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
87,-7758.96,-17.71452,0.69493,-0.75160,-5.00000,10.3059,438,20,400,200,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
13,-16022.98,-36.66586,0.46350,-0.95215,-5.00000,16.8030,437,10,200,100,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
121,-13642.87,-30.72718,0.65676,-0.85193,-5.00000,15.9800,444,10,300,300,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
54,-3528.31,-8.36092,0.84416,-0.33634,-5.00000,9.9892,422,35,100,200,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
295,-1939.13,-4.35760,0.95516,-0.15059,-1.77637,12.1486,445,40,100,700,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
22,-10092.06,-24.43598,0.49262,-0.85087,-5.00000,11.7620,413,55,200,100,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
233,-4866.51,-11.13618,0.85992,-0.44513,-5.00000,10.4880,437,30,400,500,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
157,-15294.25,-34.52427,0.67450,-0.86220,-5.00000,17.6139,443,10,200,400,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
291,-2236.64,-4.76896,0.95932,-0.25626,-1.93547,8.4026,469,20,100,700,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
131,-6207.96,-15.03138,0.77009,-0.54232,-5.00000,11.1247,413,60,300,300,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
379,-4930.82,-10.71917,0.89311,-0.37479,-4.33132,12.9445,460,40,400,800,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
114,-8121.61,-19.06481,0.72085,-0.65842,-5.00000,12.0311,426,35,200,300,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
374,2127.91,4.39651,1.04059,0.39849,1.65043,5.3272,484,15,400,800,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
272,-3729.53,-8.45698,0.90424,-0.29731,-3.99519,12.2835,441,45,300,600,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
152,-10462.06,-24.96912,0.70801,-0.68435,-5.00000,14.9686,419,45,100,400,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
255,-2367.00,-5.12338,0.95026,-0.29862,-2.27517,7.9053,462,20,200,600,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
269,-3961.28,-8.76389,0.90328,-0.32184,-4.07815,11.6881,452,30,300,600,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
75,-8471.17,-19.34057,0.69307,-0.75576,-5.00000,11.1878,438,20,300,200,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
279,-1520.63,-3.30572,0.96272,-0.16655,-1.54672,9.1081,460,20,400,600,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
7,-4396.40,-10.61932,0.71922,-0.45101,-5.00000,9.4055,414,40,100,100,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
39,-10983.22,-25.13323,0.49264,-0.86293,-5.00000,12.7125,437,20,400,100,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
338,-2116.37,-4.45552,0.96601,-0.14984,-1.61563,12.9003,475,15,100,800,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
316,-4461.57,-9.59477,0.90369,-0.54559,-4.14481,7.9804,465,25,300,700,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
169,-11958.38,-26.81251,0.72465,-0.79267,-5.00000,15.0249,446,10,300,400,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
196,-6504.42,-14.71588,0.84718,-0.66371,-5.00000,9.6154,442,25,100,500,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
245,-3574.48,-8.10540,0.91708,-0.29748,-3.64650,11.2184,441,30,100,600,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
195,-6622.66,-14.81579,0.85493,-0.71424,-5.00000,9.2499,447,20,100,500,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
10,-6158.37,-15.05714,0.62620,-0.65223,-5.00000,9.2645,409,55,100,100,8,0,17,30,1,1,0,0,16385,60,120,1,1,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,0,1,0,1.5,20,770101,0,1
